[NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 7ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 289ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 584ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 596ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 618ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 611ms
VM17:46 [Havok] sceneOpenFolder done, sessionId: d8c7d2ef-9587-4bed-bdcd-e7973f70112d
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 125ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 126ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 127ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 478ms
VM17:46 [Havok] sceneListHavokData returned 22 entries
VM17:46 [Havok] Setting havokMeshDataMap with 22 entries
index.mjs:966 [Violation]
    'setTimeout' handler took 192ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 4392ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 4393ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 4351ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 4356ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 388ms
2VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 389ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 390ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 97ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 91ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 328ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 252ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 303ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 654ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 866ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 2048x2048 16384KB in 889ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 653ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 659ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 207ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 203ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 210ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 80ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 232ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 431ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 630ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 1024x1024 4096KB in 633ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 423ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 428ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 230ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 243ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 512x512 1024KB in 231ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 267ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 128x128 64KB in 222ms
VM17:46 [NutexbCache] RGBA-DECODED "nutexb" 256x256 256KB in 266ms
